,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
123,large,ssd,medium,zfile,1,19.21206299463908,6.092825015385945,7.083576917648315,0.26810889
124,large,ssd,medium,zfile,3,19.69266637166341,6.065162340799968,7.0335648854573565,0.26359542875
125,large,ssd,medium,zfile,7,22.776464064915974,4.793939590454102,5.3399843374888105,0.14974556125
126,large,ssd,high,bloscpack,1,10.532439311345419,0.7036317189534506,4.621872266133626,1.000015765
127,large,ssd,high,bloscpack,3,10.61207135518392,0.6990496317545573,4.619806289672852,1.000015765
128,large,ssd,high,bloscpack,7,12.781314373016357,1.3635796705881755,5.31130329767863,0.965834815625
129,large,ssd,high,bloscpack,9,13.1819429397583,1.374597390492757,5.3415937423706055,0.96563534375
130,large,ssd,high,npz,1,80.63844037055969,12.5077543258667,16.084396680196125,0.960670135
131,large,ssd,high,npy,0,9.371713717778524,0.5409320195515951,4.272183895111084,1.00000005
132,large,ssd,high,zfile,1,70.46483874320984,10.7977876663208,14.420360326766968,0.96431538375
133,large,ssd,high,zfile,3,73.72133866945903,10.815864721934,14.417120615641275,0.964230905625
134,large,ssd,high,zfile,7,75.7961733341217,10.634379307428995,14.222853899002075,0.960669805
135,large,sd,low,bloscpack,1,6.824582020441691,0.47738107045491535,5.027618646621704,0.060875708125
136,large,sd,low,bloscpack,3,4.893031676610311,0.48353036244710285,3.5352190335591636,0.042616500625
137,large,sd,low,bloscpack,7,1.8116459051767986,0.4856470425923665,1.1126652558644612,0.012993349375
138,large,sd,low,bloscpack,9,1.3744640350341797,0.4915267626444499,0.8092596530914307,0.009234625
139,large,sd,low,npz,1,133.97360332806906,6.7133487065633135,19.695307970046997,0.159559411875
140,large,sd,low,npy,0,106.042782386144,0.541729211807251,82.42253565788269,1.00000005
141,large,sd,low,zfile,1,34.23716934521993,5.056256612141927,18.072380701700848,0.159273688125
142,large,sd,low,zfile,3,47.119012435277305,5.050107320149739,18.071962277094524,0.15926239375
143,large,sd,low,zfile,7,209.289391040802,5.056841452916463,18.100489060084026,0.15955269
144,large,sd,medium,bloscpack,1,94.21596360206604,0.7308878898620605,72.16178504625957,0.879623163125
145,large,sd,medium,bloscpack,3,94.10849833488464,0.7399129072825114,72.28085454305013,0.879474703125
146,large,sd,medium,bloscpack,7,49.34382700920105,2.0977633794148765,35.52167105674744,0.4334676
147,large,sd,medium,bloscpack,9,45.21719694137573,2.277754068374634,31.885098934173584,0.38859341625
148,large,sd,medium,npz,1,30.600282112757366,6.431850910186768,18.637643098831177,0.14975297
149,large,sd,medium,npy,0,105.92029333114624,0.5422449906667074,82.33245873451233,1.00000005
150,large,sd,medium,zfile,1,45.563646713892616,6.083850065867106,27.964965264002483,0.268117715625
151,large,sd,medium,zfile,3,45.59808603922526,6.061470588048299,27.575070937474568,0.263593955
152,large,sd,medium,zfile,7,37.745359897613525,4.786799669265747,16.948413372039795,0.14973980875
153,large,sd,high,bloscpack,1,106.95832689603169,0.6455903053283691,82.19836743672688,1.000015765
154,large,sd,high,bloscpack,3,107.21798499425252,0.6992112795511881,82.19623549779256,1.000015765
155,large,sd,high,bloscpack,7,106.26709198951721,1.3621466954549153,79.36103137334187,0.965821569375
156,large,sd,high,bloscpack,9,106.6944173971812,1.3628543217976887,79.41821527481079,0.965647025
157,large,sd,high,npz,1,106.84841267267863,12.488869031270346,90.99169198671977,0.960673629375
158,large,sd,high,npy,0,105.8906713326772,0.5420742829640707,82.19493834177653,1.00000005
159,large,sd,high,zfile,1,164.10523764292398,10.77155033747355,89.48217002550761,0.964313083125
160,large,sd,high,zfile,3,167.43467020988464,10.811544020970663,89.46438431739807,0.964228329375
161,large,sd,high,zfile,7,168.9224374294281,10.648168643315634,89.11450107892354,0.960676170625
