,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
104,mid,sd,high,npy,0,5.299214124679565,0.03172628084818522,4.087124268213908,1.000001
105,mid,sd,high,zfile,1,8.443968057632446,0.5597879886627197,4.4686689376831055,0.9643236125
106,mid,sd,high,zfile,3,8.69625997543335,0.5582079887390137,4.465079069137573,0.96422865
107,mid,sd,high,zfile,7,8.604339838027954,0.5528910160064697,4.439867973327637,0.9606797375
108,large,ssd,low,bloscpack,1,0.755255937576294,0.48076605796813965,0.6162240505218506,0.060875708125
109,large,ssd,low,bloscpack,3,0.597571849822998,0.4834010601043701,0.5584020614624023,0.042616500625
110,large,ssd,low,bloscpack,7,0.45876002311706543,0.49057912826538086,0.5047440528869629,0.012993349375
111,large,ssd,low,bloscpack,9,0.4338209629058838,0.49785399436950684,0.5079870223999023,0.009234625
112,large,ssd,low,npz,1,135.03789496421814,6.774994850158691,7.602840900421143,0.159559411875
113,large,ssd,low,npy,0,7.018662929534912,0.5421199798583984,4.240289926528931,1.00000005
114,large,ssd,low,zfile,1,18.775525093078613,5.180742025375366,5.666661977767944,0.159273688125
115,large,ssd,low,zfile,3,31.143533945083618,5.07495379447937,5.745244026184082,0.15926239375
116,large,ssd,low,zfile,7,193.57199501991272,5.1832170486450195,5.760499000549316,0.15955269
117,large,ssd,medium,bloscpack,1,6.720836877822876,0.7273678779602051,4.386652946472168,0.879622728125
118,large,ssd,medium,bloscpack,3,6.508216142654419,0.7461709976196289,4.368360996246338,0.879472755625
119,large,ssd,medium,bloscpack,7,6.092736005783081,2.0684099197387695,3.835944890975952,0.433495466875
120,large,ssd,medium,bloscpack,9,6.336444139480591,2.2479560375213623,3.7078211307525635,0.388585661875
121,large,ssd,medium,npz,1,28.625965118408203,6.726010084152222,7.035372972488403,0.1497604675
122,large,ssd,medium,npy,0,7.083297967910767,0.5415420532226562,4.249583005905151,1.00000005
123,large,ssd,medium,zfile,1,18.85814881324768,6.115721940994263,7.189289093017578,0.268101431875
124,large,ssd,medium,zfile,3,19.40626287460327,6.094617128372192,7.155050039291382,0.26358699375
125,large,ssd,medium,zfile,7,22.833839178085327,4.8128931522369385,5.3559839725494385,0.149745629375
126,large,ssd,high,bloscpack,1,7.571691036224365,0.6448688507080078,4.880578994750977,1.000015765
127,large,ssd,high,bloscpack,3,7.555031061172485,0.6436300277709961,4.864838123321533,1.000015765
128,large,ssd,high,bloscpack,7,8.412866115570068,1.330359935760498,5.489467144012451,0.9658343725
129,large,ssd,high,bloscpack,9,8.818933963775635,1.4053800106048584,5.453993082046509,0.965645368125
130,large,ssd,high,npz,1,80.59737396240234,12.839691162109375,16.14673399925232,0.960670975
131,large,ssd,high,npy,0,6.83629298210144,0.5422370433807373,4.248054027557373,1.00000005
132,large,ssd,high,zfile,1,70.00785112380981,10.932111978530884,14.415940999984741,0.964314919375
133,large,ssd,high,zfile,3,72.09239411354065,10.876492977142334,14.523766040802002,0.96423101625
