,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
146,large,sd,medium,bloscpack,7,49.37097096443176,2.098612070083618,35.610475063323975,0.4334662675
147,large,sd,medium,bloscpack,9,45.15463995933533,2.2501418590545654,31.872981071472168,0.388589774375
148,large,sd,medium,npz,1,32.29992413520813,6.723269939422607,18.875916957855225,0.149743696875
149,large,sd,medium,npy,0,106.00384092330933,0.5510141849517822,82.16309309005737,1.00000005
150,large,sd,medium,zfile,1,45.88222908973694,6.217348098754883,28.084285020828247,0.268120598125
151,large,sd,medium,zfile,3,45.87193298339844,6.093477964401245,27.667876958847046,0.26360002375
152,large,sd,medium,zfile,7,37.801772117614746,4.915566921234131,16.964916944503784,0.14975203
153,large,sd,high,bloscpack,1,107.20596289634705,0.6786150932312012,82.0740659236908,1.000015765
154,large,sd,high,bloscpack,3,107.78564500808716,0.6835489273071289,82.17138004302979,1.000015765
155,large,sd,high,bloscpack,7,106.72781109809875,1.3116858005523682,79.31361198425293,0.965834828125
156,large,sd,high,bloscpack,9,107.25907778739929,1.4026081562042236,79.33322405815125,0.965643076875
157,large,sd,high,npz,1,108.20360898971558,12.84089994430542,90.78411197662354,0.960669959375
158,large,sd,high,npy,0,106.67554593086243,0.545835018157959,82.10731816291809,1.00000005
159,large,sd,high,zfile,1,165.35958695411682,10.84719705581665,89.50334405899048,0.96431509375
160,large,sd,high,zfile,3,167.84211802482605,10.88556694984436,89.52123618125916,0.96423107
161,large,sd,high,zfile,7,169.46939396858215,10.677534103393555,89.04113602638245,0.960671894375
